Celsius Temperature      Fahrenheit Temperature
------------------------------------------------
       12.3                       54.14
       12.8                       55.04
       13.3                       55.94
       13.8                       56.84
       14.3                       57.74
       14.8                       58.64
       15.3                       59.54
       15.8                       60.44
       16.3                       61.34
       16.8                       62.24
       17.3                       63.14
       17.8                       64.04
       18.3                       64.94
       18.8                       65.84
       19.3                       66.74
       19.8                       67.64
       20.3                       68.54
       20.8                       69.44
       21.3                       70.34
       21.8                       71.24
       22.3                       72.14
       22.8                       73.04
       23.3                       73.94
       23.8                       74.84
       24.3                       75.74
       24.8                       76.64
       25.3                       77.54
       25.8                       78.44
       26.3                       79.34
       26.8                       80.24
       27.3                       81.14
       27.8                       82.04
       28.3                       82.94
       28.8                       83.84
       29.3                       84.74
       29.8                       85.64
       30.3                       86.54
       30.8                       87.44
       31.3                       88.34
       31.8                       89.24
       32.3                       90.14
       32.8                       91.04
       33.3                       91.94
       33.8                       92.84
       34.3                       93.74
       34.8                       94.64
       35.3                       95.54
       35.8                       96.44
       36.3                       97.34
       36.8                       98.24
       37.3                       99.14
       37.8                      100.04
       38.3                      100.94
       38.8                      101.84
       39.3                      102.74
       39.8                      103.64
       40.3                      104.54
       40.8                      105.44
       41.3                      106.34
       41.8                      107.24
       42.3                      108.14
       42.8                      109.04
       43.3                      109.94
       43.8                      110.84
       44.3                      111.74
       44.8                      112.64
       45.3                      113.54
       45.8                      114.44
       46.3                      115.34
       46.8                      116.24
       47.3                      117.14
       47.8                      118.04
       48.3                      118.94
       48.8                      119.84
       49.3                      120.74
       49.8                      121.64
       50.3                      122.54
       50.8                      123.44
       51.3                      124.34
       51.8                      125.24
       52.3                      126.14
       52.8                      127.04
       53.3                      127.94
       53.8                      128.84
       54.3                      129.74
       54.8                      130.64
       55.3                      131.54
       55.8                      132.44
       56.3                      133.34
       56.8                      134.24
       57.3                      135.14
       57.8                      136.04
       58.3                      136.94
       58.8                      137.84
       59.3                      138.74
       59.8                      139.64
       60.3                      140.54
       60.8                      141.44
       61.3                      142.34
       61.8                      143.24
       62.3                      144.14
       62.8                      145.04
       63.3                      145.94
       63.8                      146.84
       64.3                      147.74
       64.8                      148.64
       65.3                      149.54
       65.8                      150.44
       66.3                      151.34
       66.8                      152.24
       67.3                      153.14
       67.8                      154.04
       68.3                      154.94
       68.8                      155.84
       69.3                      156.74
       69.8                      157.64
       70.3                      158.54
       70.8                      159.44
       71.3                      160.34
       71.8                      161.24
       72.3                      162.14
       72.8                      163.04
       73.3                      163.94
       73.8                      164.84
       74.3                      165.74
       74.8                      166.64
       75.3                      167.54
       75.8                      168.44
       76.3                      169.34
       76.8                      170.24
       77.3                      171.14
       77.8                      172.04
       78.3                      172.94
       78.8                      173.84
       79.3                      174.74
       79.8                      175.64
       80.3                      176.54
       80.8                      177.44
       81.3                      178.34
       81.8                      179.24
       82.3                      180.14
       82.8                      181.04
       83.3                      181.94
       83.8                      182.84
       84.3                      183.74
       84.8                      184.64
       85.3                      185.54
       85.8                      186.44
       86.3                      187.34
       86.8                      188.24
       87.3                      189.14
       87.8                      190.04
       88.3                      190.94
       88.8                      191.84
       89.3                      192.74
       89.8                      193.64
       90.3                      194.54
       90.8                      195.44
       91.3                      196.34
       91.8                      197.24
       92.3                      198.14
       92.8                      199.04
       93.3                      199.94
       93.8                      200.84
       94.3                      201.74
       94.8                      202.64
       95.3                      203.54
       95.8                      204.44
       96.3                      205.34
       96.8                      206.24
       97.3                      207.14
       97.8                      208.04
       98.3                      208.94
       98.8                      209.84
       99.3                      210.74
       99.8                      211.64
      100.4                      212.72
------------------------------------------------
