Year from Now         Rised Sea Level
-------------------------------------------
      1                      1.5
      2                      3.0
      3                      4.5
      4                      6.0
      5                      7.5
      6                      9.0
      7                     10.5
      8                     12.0
      9                     13.5
     10                     15.0
     11                     16.5
     12                     18.0
     13                     19.5
     14                     21.0
     15                     22.5
     16                     24.0
     17                     25.5
     18                     27.0
     19                     28.5
     20                     30.0
     21                     31.5
     22                     33.0
     23                     34.5
     24                     36.0
     25                     37.5
     26                     39.0
     27                     40.5
     28                     42.0
     29                     43.5
     30                     45.0
     31                     46.5
     32                     48.0
     33                     49.5
     34                     51.0
     35                     52.5
     36                     54.0
     37                     55.5
     38                     57.0
     39                     58.5
     40                     60.0
     41                     61.5
     42                     63.0
     43                     64.5
     44                     66.0
     45                     67.5
     46                     69.0
     47                     70.5
     48                     72.0
     49                     73.5
     50                     75.0
     51                     76.5
     52                     78.0
     53                     79.5
     54                     81.0
     55                     82.5
     56                     84.0
     57                     85.5
     58                     87.0
     59                     88.5
     60                     90.0
     61                     91.5
     62                     93.0
     63                     94.5
     64                     96.0
     65                     97.5
     66                     99.0
     67                    100.5
     68                    102.0
     69                    103.5
     70                    105.0
     71                    106.5
     72                    108.0
     73                    109.5
     74                    111.0
     75                    112.5
     76                    114.0
     77                    115.5
     78                    117.0
     79                    118.5
     80                    120.0
     81                    121.5
     82                    123.0
     83                    124.5
     84                    126.0
     85                    127.5
     86                    129.0
     87                    130.5
     88                    132.0
     89                    133.5
     90                    135.0
     91                    136.5
     92                    138.0
     93                    139.5
     94                    141.0
     95                    142.5
     96                    144.0
     97                    145.5
     98                    147.0
     99                    148.5
    100                    150.0
-------------------------------------------
