Calculation result

      time (s)         Distance (m)
--------------------------------------------
       0.00                  0.00
       0.23                  0.26
       0.46                  1.04
       0.69                  2.33
       0.92                  4.15
       1.15                  6.48
       1.38                  9.33
       1.61                 12.70
       1.84                 16.59
       2.07                 21.00
       2.30                 25.92
       2.53                 31.36
       2.76                 37.33
       2.99                 43.81
       3.22                 50.81
       3.45                 58.32
       3.68                 66.36
       3.91                 74.91
       4.14                 83.98
       4.37                 93.57
       4.60                103.68
       4.83                114.31
       5.06                125.46
       5.29                137.12
       5.52                149.30
       5.75                162.01
       5.98                175.23
       6.21                188.96
       6.44                203.22
       6.67                218.00
       6.90                233.29
       7.13                249.10
       7.36                265.43
       7.59                282.28
       7.82                299.65
       8.05                317.53
       8.28                335.94
       8.51                354.86
       8.74                374.30
       8.97                394.26
       9.20                414.74
       9.43                435.73
       9.66                457.25
       9.89                479.28
      10.12                501.83
      10.35                524.90
      10.58                548.49
      10.81                572.59
      11.04                597.22
      11.27                622.36
      11.50                648.03
      11.73                674.21
      11.96                700.90
      12.19                728.12
      12.42                755.86
      12.65                784.11
      12.88                812.88
      13.11                842.17
      13.34                871.98
      13.57                902.31
      13.80                933.16
      14.03                964.52
      14.26                996.40
      14.49               1028.80
      14.72               1061.72
      14.95               1095.16
      15.18               1129.12
      15.41               1163.59
      15.64               1198.59
      15.87               1234.10
      16.10               1270.13
      16.33               1306.68
      16.56               1343.74
      16.79               1381.33
      17.02               1419.43
      17.25               1458.06
      17.48               1497.20
      17.71               1536.86
      17.94               1577.03
      18.17               1617.73
      18.40               1658.94
      18.63               1700.68
      18.86               1742.93
      19.09               1785.70
      19.32               1828.99
      19.55               1872.79
      19.78               1917.12
      20.01               1961.96
      20.24               2007.32
      20.47               2053.20
      20.70               2099.60
      20.93               2146.52
      21.16               2193.95
      21.39               2241.91
      21.62               2290.38
      21.85               2339.37
      22.08               2388.88
      22.31               2438.91
      22.54               2489.45
      22.77               2540.52
      23.00               2592.10
      23.23               2644.20
      23.46               2696.82
      23.69               2749.96
      23.92               2803.62
      24.15               2857.79
      24.38               2912.48
      24.61               2967.70
      24.84               3023.43
      25.07               3079.67
      25.30               3136.44
      25.53               3193.73
