**Temperature Lookup Table**

  Temperature in            Temperature in
     Fahrenheit                 Celsius
-----------------------------------------------
          0.00                   -17.78
          1.00                   -17.22
          2.00                   -16.67
          3.00                   -16.11
          4.00                   -15.56
          5.00                   -15.00
          6.00                   -14.44
          7.00                   -13.89
          8.00                   -13.33
          9.00                   -12.78
         10.00                   -12.22
         11.00                   -11.67
         12.00                   -11.11
         13.00                   -10.56
         14.00                   -10.00
         15.00                    -9.44
         16.00                    -8.89
         17.00                    -8.33
         18.00                    -7.78
         19.00                    -7.22
         20.00                    -6.67
-----------------------------------------------
