**Coin Toss Master**

  Number of Tossing            Result
-----------------------------------------
            1                   tails
            2                   tails
            3                   tails
            4                   heads
            5                   heads
            6                   heads
            7                   heads
            8                   heads
            9                   tails
           10                   heads
           11                   tails
           12                   tails
           13                   tails
           14                   tails
           15                   heads
           16                   heads
           17                   tails
           18                   heads
           19                   tails
           20                   tails
           21                   tails
           22                   tails
           23                   tails
           24                   tails
           25                   heads
           26                   heads
           27                   tails
           28                   heads
           29                   heads
           30                   tails
           31                   heads
           32                   tails
           33                   tails
           34                   heads
           35                   heads
           36                   heads
           37                   heads
           38                   tails
           39                   tails
           40                   heads
           41                   tails
           42                   heads
           43                   heads
           44                   tails
           45                   heads
           46                   heads
           47                   tails
           48                   heads
           49                   tails
           50                   heads
           51                   tails
           52                   heads
           53                   heads
           54                   tails
           55                   tails
           56                   tails
           57                   heads
           58                   heads
           59                   tails
           60                   tails
           61                   heads
           62                   tails
           63                   heads
           64                   heads
           65                   heads
           66                   heads
           67                   heads
           68                   tails
           69                   heads
           70                   heads
           71                   heads
           72                   heads
           73                   tails
           74                   tails
           75                   heads
           76                   tails
           77                   tails
           78                   tails
           79                   heads
           80                   heads
           81                   heads
           82                   tails
           83                   tails
           84                   heads
           85                   tails
           86                   tails
           87                   tails
           88                   tails
           89                   heads
           90                   heads
           91                   heads
           92                   tails
           93                   tails
           94                   heads
           95                   heads
           96                   tails
           97                   heads
           98                   heads
           99                   heads
          100                   tails
-----------------------------------------

Total times of tossing: 100
Head times: 52
Tail times: 48
Head probability: 52.00%
Tail probability: 48.00%
